state,killed,id,injured,KilledOrInjured,date
Pennsylvania,0,42,4,4,19 June 2021
South Carolina,2,45,8,10,20 June 2021
Texas,0,48,4,4,21 June 2021
Wisconsin,0,55,4,4,22 June 2021
Illinois,0,17,6,6,23 June 2021
New Jersey,4,34,3,7,24 June 2021
Virginia,0,51,5,5,25 June 2021
Missouri,0,29,4,4,26 June 2021
California,1,6,4,5,27 June 2021
California,2,6,4,6,28 June 2021
Ohio,1,39,3,4,29 June 2021
District of Columbia,0,11,7,7,30 June 2021
Louisiana,6,22,0,6,01 July 2021
Texas,2,48,4,6,02 July 2021
Virginia,0,51,4,4,03 July 2021
New York,1,36,3,4,04 July 2021
Pennsylvania,0,42,6,6,05 July 2021
Texas,0,48,8,8,06 July 2021
Arkansas,0,5,4,4,07 July 2021
California,0,6,5,5,08 July 2021
District of Columbia,2,11,5,7,09 July 2021
Georgia,2,13,5,7,10 July 2021
Maryland,0,24,5,5,11 July 2021
Missouri,2,29,4,6,12 July 2021
New York,1,36,7,8,13 July 2021
Kentucky,1,21,4,5,14 July 2021
Louisiana,0,22,5,5,15 July 2021
Louisiana,0,22,4,4,16 July 2021
Louisiana,2,22,2,4,17 July 2021
Minnesota,1,27,6,7,18 July 2021
Illinois,0,17,4,4,19 July 2021
Iowa,2,19,2,4,20 July 2021
Illinois,0,17,4,4,21 July 2021
New York,0,36,7,7,22 July 2021
Illinois,0,17,4,4,23 July 2021
Texas,1,48,3,4,24 July 2021
Wisconsin,0,55,5,5,25 July 2021
Kansas,0,20,5,5,26 July 2021
Michigan,0,26,4,4,27 July 2021
Michigan,1,26,3,4,28 July 2021
New Jersey,1,34,4,5,29 July 2021
New York,0,36,4,4,30 July 2021
New York,1,36,8,9,31 July 2021
New York,0,36,4,4,01 August 2021
North Carolina,2,37,2,4,02 August 2021
Wisconsin,0,55,5,5,03 August 2021
Alabama,0,1,4,4,04 August 2021
Illinois,1,17,3,4,05 August 2021
Minnesota,0,27,11,11,06 August 2021
New York,0,36,4,4,07 August 2021
Texas,0,48,5,5,08 August 2021
Texas,1,48,3,4,09 August 2021
Wisconsin,0,55,5,5,10 August 2021
California,0,6,5,5,11 August 2021
Illinois,0,17,5,5,12 August 2021
Illinois,0,17,4,4,13 August 2021
Minnesota,0,27,4,4,14 August 2021
Minnesota,0,27,4,4,15 August 2021
New York,0,36,5,5,16 August 2021
North Carolina,4,37,5,9,17 August 2021
Ohio,1,39,4,5,18 August 2021
Florida,0,12,5,5,19 August 2021
Illinois,0,17,4,4,20 August 2021
Tennessee,0,47,4,4,21 August 2021
Connecticut,1,9,3,4,22 August 2021
Pennsylvania,0,42,4,4,23 August 2021
Arizona,0,4,4,4,24 August 2021
California,0,6,4,4,25 August 2021
Colorado,0,8,5,5,26 August 2021
Arkansas,3,5,1,4,27 August 2021
California,3,6,4,7,28 August 2021
Illinois,2,17,2,4,29 August 2021
Illinois,0,17,4,4,30 August 2021
New York,0,36,4,4,31 August 2021
Alabama,0,1,7,7,01 September 2021
Pennsylvania,2,42,2,4,02 September 2021
California,0,6,4,4,03 September 2021
South Dakota,1,45,3,4,04 September 2021
Arkansas,0,5,4,4,05 September 2021
Georgia,1,13,4,5,06 September 2021
Illinois,0,17,4,4,07 September 2021
Iowa,0,19,5,5,08 September 2021
Massachusetts,1,25,3,4,09 September 2021
Ohio,0,39,4,4,10 September 2021
Alabama,7,1,0,7,11 September 2021
Colorado,0,8,4,4,12 September 2021
California,1,6,4,5,13 September 2021
Mississippi,0,27,5,5,14 September 2021
Missouri,1,29,4,5,15 September 2021
Ohio,0,39,4,4,16 September 2021
Arkansas,0,5,5,5,17 September 2021
Illinois,1,17,3,4,18 September 2021
Illinois,1,17,3,4,19 September 2021
Illinois,0,17,6,6,20 September 2021
Missouri,2,29,7,9,21 September 2021
Tennessee,0,47,5,5,22 September 2021
New York,0,36,4,4,23 September 2021
Tennessee,0,47,4,4,24 September 2021
California,2,6,3,5,25 September 2021
North Carolina,0,37,5,5,26 September 2021
Pennsylvania,1,42,6,7,27 September 2021
Pennsylvania,2,42,2,4,28 September 2021
Illinois,0,17,4,4,29 September 2021
Louisiana,0,22,5,5,30 September 2021
Michigan,2,26,2,4,01 October 2021
New Mexico,1,35,3,4,02 October 2021
Missouri,5,29,2,7,03 October 2021
North Carolina,7,37,0,7,04 October 2021
Maryland,0,24,7,7,05 October 2021
Florida,1,12,4,5,06 October 2021
Missouri,0,29,4,4,07 October 2021
Virginia,0,51,4,4,08 October 2021
South Carolina,0,45,4,4,09 October 2021
Texas,0,48,4,4,10 October 2021
Maryland,1,24,3,4,11 October 2021
Georgia,0,13,4,4,12 October 2021
Pennsylvania,0,42,5,5,13 October 2021
Georgia,3,13,1,4,14 October 2021
California,1,6,5,6,15 October 2021
District of Columbia,0,11,6,6,16 October 2021
Illinois,0,17,7,7,17 October 2021
New Mexico,0,35,4,4,18 October 2021
Ohio,1,39,18,19,19 October 2021
California,1,6,3,4,20 October 2021
Illinois,0,17,4,4,21 October 2021
Maryland,1,24,5,6,22 October 2021
Louisiana,0,22,5,5,23 October 2021
Texas,0,48,5,5,24 October 2021
Texas,0,48,6,6,25 October 2021
Alabama,0,1,4,4,26 October 2021
Illinois,1,17,4,5,27 October 2021
Kentucky,1,21,4,5,28 October 2021
Tennessee,0,47,4,4,29 October 2021
New Mexico,0,35,5,5,30 October 2021
Florida,0,12,5,5,31 October 2021
Pennsylvania,0,42,4,4,01 November 2021
Louisiana,0,22,13,13,02 November 2021
Maryland,0,24,3,3,03 November 2021
South Carolina,0,45,4,4,04 November 2021
South Carolina,4,45,1,5,05 November 2021
California,0,6,5,5,06 November 2021
Illinois,0,17,5,5,07 November 2021
Pennsylvania,0,42,4,4,08 November 2021
Texas,2,48,3,5,09 November 2021
Ohio,1,39,3,4,10 November 2021
Florida,0,12,5,5,11 November 2021
Florida,0,12,6,6,12 November 2021
Illinois,1,17,4,5,13 November 2021
Illinois,1,17,3,4,14 November 2021
Michigan,1,26,3,4,15 November 2021
Mississippi,1,27,4,5,16 November 2021
North Carolina,0,37,6,6,17 November 2021
South Carolina,2,45,5,7,18 November 2021
Texas,0,48,4,4,19 November 2021
Alabama,3,1,1,4,20 November 2021
Missouri,0,29,4,4,21 November 2021
South Carolina,0,45,4,4,22 November 2021
Louisiana,0,22,6,6,23 November 2021
California,0,6,5,5,24 November 2021
Illinois,2,17,2,4,25 November 2021
Mississippi,0,27,4,4,26 November 2021
Pennsylvania,0,42,4,4,27 November 2021
South Carolina,3,45,5,8,28 November 2021
California,0,6,5,5,29 November 2021
Massachusetts,1,25,4,5,30 November 2021
Ohio,1,39,3,4,01 December 2021
Pennsylvania,0,42,4,4,02 December 2021
Kentucky,0,21,7,7,03 December 2021
Pennsylvania,1,42,3,4,04 December 2021
Tennessee,0,47,4,4,05 December 2021
Virginia,0,51,5,5,06 December 2021
Florida,1,12,3,4,07 December 2021
Illinois,0,17,5,5,08 December 2021
Ohio,0,39,4,4,09 December 2021
District of Columbia,0,11,4,4,10 December 2021
Florida,2,12,4,6,11 December 2021
New Jersey,0,34,4,4,12 December 2021
North Carolina,1,37,5,6,13 December 2021
Texas,1,48,4,5,14 December 2021
Mississippi,1,27,5,6,15 December 2021
Pennsylvania,0,42,4,4,16 December 2021
Georgia,1,13,3,4,17 December 2021
Tennessee,2,47,2,4,18 December 2021
Texas,3,48,1,4,19 December 2021
Maryland,0,24,4,4,20 December 2021
Missouri,0,29,4,4,21 December 2021
Arizona,2,4,2,4,22 December 2021
Indiana,0,18,4,4,23 December 2021
New Jersey,1,34,4,5,24 December 2021
North Carolina,1,37,3,4,25 December 2021
Oklahoma,1,40,3,4,26 December 2021
South Carolina,0,45,6,6,27 December 2021
Florida,1,12,7,8,28 December 2021
Florida,2,12,4,6,29 December 2021
North Carolina,0,37,6,6,30 December 2021
California,2,6,3,5,31 December 2021
Missouri,0,29,4,4,01 January 2022
Ohio,0,39,4,4,02 January 2022
South Carolina,3,45,1,4,03 January 2022
Georgia,2,13,2,4,04 January 2022
Louisiana,0,22,5,5,05 January 2022
Florida,0,12,4,4,06 January 2022
Illinois,0,17,4,4,07 January 2022
Illinois,0,17,4,4,08 January 2022
Tennessee,0,47,4,4,09 January 2022
South Carolina,0,45,4,4,10 January 2022
Texas,3,48,2,5,11 January 2022
Florida,1,12,3,4,12 January 2022
Ohio,0,39,5,5,13 January 2022
Wisconsin,0,55,8,8,14 January 2022
Arizona,1,4,4,5,15 January 2022
Illinois,0,17,6,6,16 January 2022
Nebraska,2,31,2,4,17 January 2022
Illinois,1,17,3,4,18 January 2022
Louisiana,1,22,3,4,19 January 2022
New Jersey,0,34,4,4,20 January 2022
New York,1,36,6,7,21 January 2022
Nevada,1,32,5,6,22 January 2022
Georgia,1,13,5,6,23 January 2022
Ohio,0,39,6,6,24 January 2022
Louisiana,0,22,4,4,25 January 2022
South Carolina,1,45,10,11,26 January 2022
South Carolina,0,45,5,5,27 January 2022
Mississippi,0,27,11,11,28 January 2022
Tennessee,2,47,3,5,29 January 2022
Nevada,4,32,1,5,30 January 2022
Alaska,4,2,0,4,31 January 2022
Missouri,0,29,4,4,01 February 2022
Ohio,3,39,2,5,02 February 2022
Louisiana,2,22,2,4,03 February 2022
Kansas,0,20,4,4,04 February 2022
South Carolina,1,45,3,4,05 February 2022
Tennessee,0,47,8,8,06 February 2022
Virginia,0,51,4,4,07 February 2022
Texas,0,48,4,4,08 February 2022
Michigan,0,26,5,5,09 February 2022
Illinois,1,17,3,4,10 February 2022
Missouri,2,29,2,4,11 February 2022
South Carolina,0,45,8,8,12 February 2022
Georgia,0,13,4,4,13 February 2022
South Carolina,2,45,3,5,14 February 2022
Pennsylvania,0,42,4,4,15 February 2022
Louisiana,2,22,2,4,16 February 2022
Maryland,0,24,7,7,17 February 2022
Arizona,1,4,6,7,18 February 2022
California,2,6,4,6,19 February 2022
California,1,6,3,4,20 February 2022
Florida,3,12,1,4,21 February 2022
New York,1,36,5,6,22 February 2022
South Carolina,0,45,5,5,23 February 2022
Illinois,1,17,4,5,24 February 2022
Maryland,1,24,3,4,25 February 2022
Tennessee,0,47,4,4,26 February 2022
Louisiana,1,22,3,4,27 February 2022
Ohio,0,39,5,5,28 February 2022
California,0,6,4,4,01 March 2022
Washington,0,53,4,4,02 March 2022
Texas,3,48,1,4,03 March 2022
Mississippi,2,27,2,4,04 March 2022
New York,1,36,5,6,05 March 2022
